date,inc,temperature_2m,relative_humidity_2m,Topic_Toux,Topic_Grippe,Topic_Fievre,ratio_vacances
2025-04-06,12513.0,12.879166666666668,51.75,56.0,9.0,66.0,0.0
2025-04-13,12238.0,12.536309523809523,57.32738095238095,51.0,8.0,67.0,0.29
2025-04-20,8950.0,13.019642857142859,64.53571428571429,49.0,7.0,64.0,1.0
2025-04-27,7721.0,12.602976190476191,76.19642857142857,47.0,6.0,68.0,1.0
2025-05-04,6814.0,19.10535714285714,53.18452380952381,39.0,5.0,61.0,0.14
2025-05-11,7107.0,13.742857142857144,56.54761904761905,42.0,5.0,65.0,0.0
2025-05-18,8765.0,14.980952380952383,66.99404761904762,44.0,6.0,64.0,0.0
2025-05-25,9680.0,15.230357142857141,60.80952380952381,43.0,6.0,60.0,0.0
2025-06-01,7331.0,18.56547619047619,67.66666666666667,46.0,5.0,60.0,0.0
2025-06-08,8769.0,16.767261904761906,67.92261904761905,43.0,4.0,65.0,0.0
2025-06-15,7446.0,20.992857142857144,65.70833333333333,39.0,4.0,67.0,0.0
2025-06-22,7730.0,24.10595238095238,48.30357142857143,36.0,3.0,66.0,0.0
2025-06-29,6817.0,23.325595238095236,61.857142857142854,32.0,3.0,72.0,0.0
2025-07-06,5664.0,23.799404761904764,52.839285714285715,33.0,4.0,67.0,0.29
2025-07-13,5574.0,20.51964285714286,61.93452380952381,34.0,4.0,66.0,1.0
2025-07-20,4706.0,21.99345238095238,64.57738095238095,33.0,5.0,65.0,1.0
2025-07-27,5420.0,18.70654761904762,78.625,31.0,4.0,58.0,1.0
2025-08-03,4947.0,18.301785714285714,74.25595238095238,29.0,4.0,54.0,1.0
2025-08-10,4948.0,20.656547619047622,62.208333333333336,26.0,4.0,58.0,1.0
2025-08-17,3629.0,24.61904761904762,54.767857142857146,32.0,5.0,57.0,1.0
2025-08-24,3337.0,19.396428571428572,63.86904761904762,31.0,4.0,56.0,1.0
2025-08-31,5710.0,19.961904761904762,63.142857142857146,27.0,5.0,51.0,1.0
2025-09-07,8211.0,17.913690476190474,75.41666666666667,33.0,7.0,50.0,0.14
2025-09-14,12294.0,16.642857142857142,73.82142857142857,46.0,10.0,55.0,0.0
2025-09-21,14016.0,17.823809523809523,72.44642857142857,48.0,12.0,54.0,0.0
2025-09-28,16037.0,11.782738095238095,81.29166666666667,54.0,16.0,56.0,0.0
2025-10-05,18608.0,13.475000000000001,76.95833333333333,64.0,17.0,55.0,0.0
2025-10-12,19730.0,13.267261904761906,83.33333333333333,70.0,33.0,57.0,0.0
2025-10-19,19531.0,12.522023809523809,80.17261904761905,66.0,24.0,56.0,0.29
2025-10-26,16376.0,12.006547619047618,81.21428571428571,53.0,25.0,51.0,1.0
2025-11-02,13578.0,11.95357142857143,83.23214285714286,47.0,28.0,52.0,1.0
2025-11-09,14406.0,11.710119047619047,87.51190476190476,55.0,19.0,55.0,0.14
2025-11-16,12509.0,12.119642857142857,86.0,59.0,20.0,59.0,0.0
2025-11-23,17898.0,3.3220238095238095,86.125,62.0,32.0,67.0,0.0
2025-11-30,21326.0,6.886904761904762,89.56547619047619,67.0,43.0,75.0,0.0
2025-12-07,25688.0,7.589880952380952,87.05357142857143,85.0,66.0,84.0,0.0
2025-12-14,31531.0,10.136309523809524,91.88095238095238,83.0,98.0,92.0,0.0
2025-12-21,33583.0,9.260119047619048,90.16666666666667,100.0,100.0,100.0,0.29
2025-12-28,23031.0,2.5226190476190475,82.44047619047619,85.0,77.0,88.0,1.0
2026-01-04,22867.0,0.47678571428571426,86.5297619047619,63.0,47.0,76.0,1.0
2026-01-11,26686.0,1.7613095238095238,86.83333333333333,59.0,43.0,69.0,0.14
2026-01-18,26735.0,9.113095238095237,85.9702380952381,55.0,29.0,67.0,0.0
2026-01-25,28390.0,6.976190476190476,86.78571428571429,52.0,24.0,64.0,0.0
2026-02-01,28075.0,5.598809523809524,92.54761904761905,49.0,18.0,60.0,0.0
2026-02-08,26953.0,8.013690476190476,86.83928571428571,49.0,14.0,53.0,0.0
2026-02-15,20919.0,7.381547619047619,86.24404761904762,45.0,11.0,50.0,0.0
2026-02-22,19316.0,8.438690476190477,82.26190476190476,49.0,9.0,52.0,0.29
2026-03-01,12935.0,11.436904761904762,79.58928571428571,43.0,8.0,48.0,1.0
2026-03-08,11615.0,11.154761904761905,77.875,47.0,6.0,46.0,1.0
2026-03-15,11429.0,9.039285714285715,80.2202380952381,37.0,6.0,44.0,0.0
2026-03-22,11534.0,10.206547619047619,68.70238095238095,45.0,6.0,54.0,0.0
2026-03-29,13340.0,7.979761904761904,71.14880952380952,47.0,7.0,55.0,0.0
2026-04-05,11332.0,10.367261904761905,79.39285714285714,44.0,6.0,57.0,0.0
2026-04-12,8449.0,13.10654761904762,64.5,42.0,5.0,47.0,0.0
2026-04-19,8681.0,13.296428571428573,63.095238095238095,43.0,5.0,47.0,0.29
2026-04-26,7122.0,14.149404761904762,44.220238095238095,36.0,4.0,48.0,1.0
2026-05-03,5559.0,17.586904761904762,49.845238095238095,34.0,4.0,43.0,1.0
2026-05-10,5673.0,13.813690476190475,78.68452380952381,35.0,5.0,52.0,0.0
2026-05-17,5340.0,10.52202380952381,76.19642857142857,30.0,4.0,46.0,0.0
2026-05-24,6451.0,18.002380952380953,72.00595238095238,29.0,3.0,45.0,0.0
